SKU;Titel;Handle;URL;Merk;Soort;Prijs incl;Van-prijs;Eenheid;Voorraad;Collecties;Afbeelding
426626;Champ - Zak/Tasasbak - Leather;champ-zak-tasasbak-leather-display-12-st;https://rokersbenodigdheden.com/products/champ-zak-tasasbak-leather-display-12-st;Champ;Kokers & Etuis;3,50;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426626.jpg?v=1778073602
970713;Denicotea filters - 10 Filters per pak - 50 Filters in doos;denicotea-filters-10-filters-per-pak-50-filters-in-doos;https://rokersbenodigdheden.com/products/denicotea-filters-10-filters-per-pak-50-filters-in-doos;Denicotea;Kokers & Etuis;12,95;;1 stuk;10;all|filters-houders|filters-tips|kokers-etuis|merk-denicotea|rokersbenodigdheden;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/970713_18.jpg?v=1778073317
426469;Mascotte - Active Slim Filters 10 - Set van 4;mascotte-active-slim-filters-10-display-20-stuks;https://rokersbenodigdheden.com/products/mascotte-active-slim-filters-10-display-20-stuks;Mascotte;Kokers & Etuis;8,95;;Set van 4;10;all|filters-houders|filters-tips|kokers-etuis|merk-mascotte|rokersbenodigdheden;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426469.jpg?v=1778073534
426468;Mascotte - Active Slim Filters 34;mascotte-active-slim-filters-34-display-10-stuks;https://rokersbenodigdheden.com/products/mascotte-active-slim-filters-34-display-10-stuks;Mascotte;Kokers & Etuis;5,49;;1 stuk;10;all|filters-houders|filters-tips|kokers-etuis|merk-mascotte|rokersbenodigdheden;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426468.jpg?v=1778073533
426471;Mascotte - Brown XL Slim Paper Filters 120 - Set van 4;mascotte-brown-xl-slim-paper-filters-120-display-20st;https://rokersbenodigdheden.com/products/mascotte-brown-xl-slim-paper-filters-120-display-20st;Mascotte;Kokers & Etuis;5,95;;Set van 4;10;all|filters-houders|filters-tips|kokers-etuis|merk-mascotte|rokersbenodigdheden;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426471.jpg?v=1778073536
426467;Mascotte - Clipper Rolling Box;mascotte-clipper-rolling-box-display-5-stuks;https://rokersbenodigdheden.com/products/mascotte-clipper-rolling-box-display-5-stuks;Mascotte;Kokers & Etuis;4,99;;1 stuk;10;all|kokers-etuis|merk-mascotte|rokersbenodigdheden|rolling-boxes;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426467.jpg?v=1778073532
426470;Mascotte - Conical Active Slim Filters 10 - Set van 4;mascotte-conical-active-slim-filters-10-display-20-st;https://rokersbenodigdheden.com/products/mascotte-conical-active-slim-filters-10-display-20-st;Mascotte;Kokers & Etuis;13,95;;Set van 4;10;all|filters-houders|filters-tips|kokers-etuis|merk-mascotte|rokersbenodigdheden;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426470-1.jpg?v=1778073535
426465;Mascotte - King Rolling Box;mascotte-king-rolling-box-display-5-stuks;https://rokersbenodigdheden.com/products/mascotte-king-rolling-box-display-5-stuks;Mascotte;Kokers & Etuis;4,99;;1 stuk;10;all|kokers-etuis|merk-mascotte|rokersbenodigdheden|rolling-boxes;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426465.jpg?v=1778073530
426462;Mascotte - Original King Combi - Set van 4;mascotte-original-king-combi-display-26-stuks;https://rokersbenodigdheden.com/products/mascotte-original-king-combi-display-26-stuks;Mascotte;Kokers & Etuis;12,95;;Set van 4;10;all|kokers-etuis|merk-mascotte;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426462.jpg?v=1778073528
426461;Mascotte - Original King Inside Out - Set van 4;mascotte-original-king-inside-out-display-50-stuks;https://rokersbenodigdheden.com/products/mascotte-original-king-inside-out-display-50-stuks;Mascotte;Kokers & Etuis;5,95;;Set van 4;10;all|kokers-etuis|merk-mascotte;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426461.jpg?v=1778073527
426463;Mascotte - Pink Slim Combi - Set van 4;mascotte-pink-slim-combi-display-26-stuks;https://rokersbenodigdheden.com/products/mascotte-pink-slim-combi-display-26-stuks;Mascotte;Kokers & Etuis;10,95;;Set van 4;10;all|kokers-etuis|merk-mascotte;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426463.jpg?v=1778073529
